Рейтинг шкіл Хмельницької області 2017 року
Інформаційним освітнім ресурсом «Освіта.ua» складено рейтинг загальноосвітніх шкіл Хмельницької області, що посіли найвищі місця у рейтингу шкіл України за підсумками ЗНО 2017 року.

У якості вихідних даних для укладання рейтингу загальноосвітніх навчальних закладів були використані результати зовнішнього незалежного оцінювання, отримані випускниками шкіл у 2017 році.

Школи у таблиці ранжовані за рейтинговим балом, який розрахований на підставі середнього значення балів зовнішнього незалежного оцінювання, отриманих учасниками тестування з усіх предметів ЗНО, та з урахуванням загальної кількості складених тестів випускниками кожної школи. Детальніше про алгоритм розрахунку рейтингового бала дивіться за посиланням.

Дані рейтингової таблиці відкориговані станом на 13 вересня 2017 року у зв’язку із виявленою технічною помилкою у розрахунку рейтингового бала окремих шкіл (було помилково враховано випускників шкіл, які не з’явились на тести). Приносимо вибачення усім користувачам сайту.

Рейтинг шкіл Хмельницької області
Назва навчального закладу	Місце	TOP	Рейт. бал	Бал ЗНО	Учнів / тестів	Склав (%)
Лісоводська ЗОШ I-III ст.	45	2028	119.4	140.1	3/12	100
Кузьминський НВК "ЗОШ I-III ст.-дитячий садок"	46	2049	119.2	140.0	3/10	100
Ярмолинецький технологічний ліцей	47	2073	119	139.0	11/38	100
НВК "ЗОШ I-III ст., гімназія" №5 м.Славути Хмельницької обл.	48	2092	118.8	138.2	18/62	95
Мукшо-Китайгородська ЗОШ I-III ст.	49	2096	118.8	139.2	6/21	95
Полонський НВК №2" ЗОШ І - ІІІ ст. №7 - ДНЗ" Полонської міськради об’єднаної територіальної громади Хмельницької обл.	50	2125	118.7	137.6	21/78	91
Красилівський НВК "Гімназія та ЗОШ I ст." Красилівського р-ну Хмельницької обл.	51	2146	118.5	138.1	14/51	94
Великоборовицька ЗОШ I-III ст.	52	2211	118	138.6	3/10	100
Бубнівський НВК "ЗОШ I-III ст.-дитячий садок"	53	2237	117.8	138.3	3/11	100
Пилявська ЗОШ I-III ст. - школа сприяння здоров’ю і козацькому гарту	54	2238	117.8	137.4	12/46	98
Теофіпольська ЗОШ I-III ст. №2 Теофіпольської райради Хмельницької обл.	55	2285	117.6	136.9	14/55	95
ЗОШ I-III ст. №1 м.Славути Хмельницької обл.	56	2288	117.5	134.0	46/172	94
Сокиринецька ЗОШ I-III ст.	57	2303	117.4	137.7	5/17	94
Ізяславський НВК "ЗОШ І-III ст. №5 ім.О.Онищука, гімназія" Ізяславської райради Хмельницької обл.	58	2343	117.2	134.0	39/154	92
Волочиська ЗОШ I-III ст. №5	59	2422	116.7	135.3	21/79	97
Теофіпольська ЗОШ I-III ст. №1 Теофіпольської райради Хмельницької обл.	60	2426	116.7	135.4	19/74	89
Красилівська ЗОШ I-III ст. №2 Красилівського р-ну Хмельницької обл.	61	2430	116.7	135.3	21/77	96
Полонська ЗОШ I-III ст. №2 Полонської міськради об’єднаної територіальної громади Хмельницької обл.	62	2442	116.6	134.3	31/114	96
Кам’янець-Подільська ЗОШ I-III ст. №6 Кам’янець-Подільської міськради Хмельницької обл.	63	2463	116.4	135.3	18/67	93
Волицька ЗОШ I-III ст. Красилівського р-ну Хмельницької обл.	64	2511	116.2	135.7	11/38	92
Деражнянська ЗОШ І-ІІІ ст. №1 ім. Героя Радянського Союзу П. Ф. Стрілецького Деражнянської райради Хмельницької обл.	65	2520	116.1	135.0	16/63	90
Чемеровецький НВК №2 "ЗОШ I-III ст., гімназія"	66	2528	116	135.4	11/44	95
Плужненський НВК "ЗОШ I-III ст., гімназія" ім.Р.Бортника Ізяславської райради Хмельницької обл.	67	2542	115.9	135.7	7/27	89
Деражнянська ЗОШ I-III ст. №3 імені Героя України Івана Зубкова Деражнянської райради Хмельницької обл.	68	2543	115.9	134.8	17/63	94
Волочиський НВК у складі середньої загальноосвітньої школи І ст. та гімназії Волочиської міськради Хмельницької обл.	69	2575	115.7	131.1	55/206	93
Довжоцький НВК "ЗОШ I-III ст., колегіум"	70	2603	115.5	135.2	7/25	92
Летичівський НВК №1 "ЗОШ I-III ст. - ліцей" Летичівської селищної ради	71	2607	115.4	130.8	57/206	93
Нетішинська ЗОШ I-III ст. №4 Нетішинської міськради Хмельницької обл.	72	2693	114.8	131.3	45/155	90
Красилівська ЗОШ I-III ст. №1 Красилівського р-ну Хмельницької обл.	73	2697	114.8	131.9	37/128	90
Кам’янець-Подільська ЗОШ I-III ст. №7 Хмельницької обл.	74	2706	114.7	133.3	19/67	88
Свіршковецька ЗОШ I-III ст.	75	2744	114.5	134.1	8/25	96
Дунаєвецька ЗОШ I-III ст. №4 Дунаєвецької міськради Хмельницької обл.	76	2748	114.5	132.8	19/76	89
Дунаєвецька ЗОШ I-III ст. Дунаєвецької селищної ради Хмельницької обл.	77	2768	114.3	133.2	14/53	91
Новосільська ЗОШ I-III ст. Ярмолинецького р-ну Хмельницької обл.	78	2781	114.2	133.9	5/20	85
Заміхівська ЗОШ I-III ст.	79	2870	113.8	133.5	4/15	87
Чемеровецький НВК №1 "ЗОШ І-ІІІ ст., ліцей та міжшкільний навчально-виробничий комбінат" Чемеровецької райради Хмельницької обл.	80	2875	113.8	130.0	41/159	92
Летичівський НВК № 2 "ЗОШ I-III ст. - гімназія" Летичівської селищної ради	81	2891	113.7	132.4	14/55	95
Старокостянтинівська ЗОШ I-III ст. №6 Старокостянтинівської міськради Хмельницької обл.	82	2920	113.5	131.9	19/67	96
Шепетівський НВК №3 у складі "ЗОШ I-III ст. ім. Н.Рибака та ліцей з посиленою військово-фізичною підготовкою" Хмельницької обл.	83	2967	113.3	129.6	48/153	92
Нігинська ЗОШ I-III ст.	84	3007	113.1	132.7	4/14	100
Чотирбоцька ЗОШ I-III ст. Шепетівської райради Хмельницької обл.	85	3146	112.2	131.3	8/30	97
Заліська №1 ЗОШ I-III ст.	86	3192	112	131.3	5/18	94
Кам’янець-Подільська ЗОШ I-ІІІ ст. №2 імені Т.Г.Шевченка Хмельницької обл.	87	3201	111.9	130.3	17/56	89
Війтовецька ЗОШ I-III ст. Війтовецької селищної ради Хмельницької обл.	88	3324	111.2	130.4	4/16	94
Понінківський НВК "ЗОШ І-ІІІ ст. №1, гімназія" Понінківської селищної ради	89	3369	110.9	128.9	21/67	90
Орининська ЗОШ I-III ст.	90	3378	110.9	129.9	7/23	100
Чабанівський НВК "ЗОШ І-ІІІ ст. - ДНЗ "Казковий світ"	91	3420	110.7	129.6	7/24	96
Мушкутинецька ЗОШ I-III ст. Дунаєвецької райради Хмельницької обл.	92	3428	110.6	129.4	9/30	97
Старосинявський НВК "ЗОШ I-III ст., гімназія"	93	3431	110.6	126.2	42/166	90
Кам’янець-Подільська ЗОШ I-III ст. №12 ім. Л.Дмитерка Хмельницької обл.	94	3445	110.5	128.9	14/47	89
Крупецький НВК "ДНЗ- середня ЗОШ I-III ст." Славутської райради Хмельницької обл.	95	3447	110.5	129.1	10/38	97
Ізяславська ЗОШ I-III ст. №1 Ізяславської міськради Хмельницької обл.	96	3463	110.4	128.0	23/79	87
Теофіпольський НВК "ЗОШ I ст.-гімназія" Теофіпольської райради Хмельницької обл.	97	3500	110.2	128.7	11/38	95
Полонська ЗОШ I-III ст. №4 Полонської міськради об’єднаної територіальної громадиХмельницької обл.	98	3528	110	126.8	31/112	91
Нетішинська ЗОШ I-III ст. №2 Нетішинської міськради Хмельницької обл.	99	3592	109.7	124.3	55/204	88
Іванковецький НВК "ЗОШ І-ІІІ ст., школа мистецтв" Хмельницької райради	100	3603	109.6	128.1	10/34	91
Нетішинська ЗОШ I-III ст. №1 Нетішинської міськради Хмельницької обл.	101	3617	109.5	124.8	48/172	87
Старокостянтинівська ЗОШ I-III ст. №8 Старокостянтинівської міськради Хмельницької обл.	102	3625	109.4	126.7	23/87	90
Горицький НВК" ДНЗ - середня ЗОШ І-ІІІ ст." Берездівської сільської ради Славутського р-ну Хмельницької обл.	103	3689	109	127.2	12/42	93
Віньковецький НВК у складі середньої загальноосвітньої школи I-III ст. та гімназії	104	3729	108.7	125.2	33/117	86
Лагодинецька ЗОШ I-III ст. Красилівського р-ну Хмельницької обл.	105	3736	108.7	127.3	6/24	96
Вільховецька ЗОШ I-III ст.	106	3760	108.5	125.8	21/78	90
Хоняківський НВК "Дошкільний навчальний заклад - середня ЗОШ I-III ст." Ганнопільської сільської ради Славутського р-ну Хмельницької обл.	107	3774	108.4	127.0	6/23	87
Западинська ЗОШ I-III ст. Красилівського р-ну Хмельницької обл.	108	3800	108.3	127.3	1/4	100
Баламутівський НВК "ЗОШ I-III ст.-ДНЗ" Ярмолинецької райради Хмельницької обл.	109	3833	108.1	126.9	3/10	90
Кам’янець-Подільський НВК №8 в складі гімназії та загальноосвітньої школи I-III ст. з українською та російською мовами навчання Хмельницької обл.	110	3866	107.8	125.9	12/41	88
Судилківська ЗОШ I-III ст. Шепетівської райради Хмельницької обл.	111	3882	107.7	124.9	24/80	91
Закупнянська ЗОШ I-III ст.	112	3909	107.6	125.3	15/54	89
Кам’янець-Подільський ліцей з посиленою військово-фізичною підготовкою Хмельницької обл.	113	3922	107.5	115.8	142/496	88
Ліщанська ЗОШ I-III ст. Ізяславської райради Хмельницької обл.	114	3926	107.5	126.1	4/14	93
Кам’янець-Подільська спеціалізована школа-інтернат І-ІІІ ст. "Славутинка" Хмельницької обласної ради	115	3927	107.5	125.4	12/44	91
Великояромирська загальносвітня школа I-III ст.	116	3986	107.1	125.5	5/20	90
Бедриковецька ЗОШ I-III ст.	117	3990	107	125.4	6/23	96
Голозубинецька ЗОШ I-III ст. Дунаєвецької райради Хмельницької обл.	118	3998	107	125.4	6/22	77
Білогірський НВК "Середня ЗОШ I-III ст. імені І.О.Ткачука, гімназія"	119	4018	106.9	123.0	32/123	85
Наркевицька ЗОШ I-III ст.	120	4027	106.9	124.8	12/40	93
Ходоровецька ЗОШ I-III ст.	121	4051	106.8	125.1	6/21	86
Шепетівська спеціалізована ЗОШ I-III ст. №2 з поглибленим вивченням основ економіки і правознавства Хмельницької обл.	122	4094	106.5	121.2	52/184	88
Майдано-Олександрівська ЗОШ I-III ст.	123	4103	106.5	125.1	2/7	100
