Рейтинг шкіл Хмельницької області 2017 року
Інформаційним освітнім ресурсом «Освіта.ua» складено рейтинг загальноосвітніх шкіл Хмельницької області, що посіли найвищі місця у рейтингу шкіл України за підсумками ЗНО 2017 року.

У якості вихідних даних для укладання рейтингу загальноосвітніх навчальних закладів були використані результати зовнішнього незалежного оцінювання, отримані випускниками шкіл у 2017 році.

Школи у таблиці ранжовані за рейтинговим балом, який розрахований на підставі середнього значення балів зовнішнього незалежного оцінювання, отриманих учасниками тестування з усіх предметів ЗНО, та з урахуванням загальної кількості складених тестів випускниками кожної школи. Детальніше про алгоритм розрахунку рейтингового бала дивіться за посиланням.

Дані рейтингової таблиці відкориговані станом на 13 вересня 2017 року у зв’язку із виявленою технічною помилкою у розрахунку рейтингового бала окремих шкіл (було помилково враховано випускників шкіл, які не з’явились на тести). Приносимо вибачення усім користувачам сайту.

Рейтинг шкіл Хмельницької області
Назва навчального закладу	Місце	TOP	Рейт. бал	Бал ЗНО	Учнів / тестів	Склав (%)
Росоловецька ЗОШ I-III ст. Красилівського р-ну Хмельницької обл.	193	5655	97.4	113.9	10/31	87
Кам’янець-Подільська спеціалізована ЗОШ І-ІІІ ст. №1 з поглибленим вивченням німецької мови Хмельницької обл.	194	5691	97.2	113.6	12/36	89
Кривачинецька ЗОШ І-ІІІ ст. Війтовецької селищної ради Хмельницької обл.	195	5736	96.9	113.7	4/16	81
Радошівська ЗОШ I-III ст. Ізяславської райради Хмельницької обл.	196	5756	96.8	112.8	15/52	85
Пліщинська ЗОШ I-III ст. Шепетівської райради Хмельницької обл.	197	5770	96.7	113.0	11/37	86
Тиннянська ЗОШ I-III ст. Дунаєвецької селищної ради Хмельницької обл.	198	5812	96.4	113.0	6/22	86
Білогородська ЗОШ I-III ст. Ізяславської райради Хмельницької обл.	199	5814	96.4	112.3	16/55	84
Малиницький НВК "ЗОШ І-ІІІ ст., центр сприяння здоров’ю"	200	5836	96.3	112.8	6/23	96
Баговицька ЗОШ I-III ст.	201	5857	96.1	112.6	7/23	87
Староостропільське навчально-виховне об’єднання "Дошкільний заклад, ЗОШ I-III ст., гімназія"Старокостянтинівської райради Хмельницької обл.	202	5916	95.8	110.2	36/121	80
Старокостянтинівська ЗОШ I-III ст. №3 Старокостянтинівської міськради Хмельницької обл.	203	5933	95.7	111.4	16/55	87
Пилипо-Олександрівська ЗОШ I-III ст. Віньковецького р-ну Хмельницької обл.	204	5954	95.5	111.4	15/46	83
Бубнівська ЗОШ I-III ст.	205	5990	95.3	111.8	4/13	92
Довгалівська ЗОШ I-III ст.	206	6005	95.2	111.6	5/18	83
Кульчиєвецька ЗОШ I-III ст.	207	6035	95	111.4	5/16	81
Отроківська ЗОШ I-III ст.	208	6053	94.8	111.2	5/18	83
Браїлівська ЗОШ I-III ст.	209	6091	94.6	111.1	2/8	88
Маначинська ЗОШ I-III ст.	210	6134	94.3	110.5	6/23	83
Осламівська ЗОШ I-III ст.	211	6137	94.3	110.5	7/22	82
В’язовецька ЗОШ I-III ст.	212	6138	94.3	110.5	6/22	91
Красилівська ЗОШ I-III ст. №3 Красилівського р-ну Хмельницької обл.	213	6148	94.2	107.1	49/190	79
Шаровечківська загальноосвітиня школа І-ІІІ ст.	214	6160	94.2	110.4	6/19	89
Залузька ЗОШ I-III ст.	215	6266	93.5	109.0	12/48	90
Більська ЗОШ I-III ст. імені К.І.Геренчука	216	6273	93.4	109.5	5/20	75
Новоставецька ЗОШ I-III ст. Теофіпольської райради Хмельницької обл.	217	6275	93.4	109.5	5/19	84
Давидковецька ЗОШ I-III ст. Хмельницького р-ну Хмельницької обл.	218	6299	93.3	109.4	5/17	88
ЗОШ I-III ст. смт. Сатанів	219	6316	93.2	107.5	30/106	76
Киликиївський НВК "ДНЗ - середня ЗОШ I-III ст." Ганнопільської сільської ради Славутського р-ну Хмельницької обл.	220	6339	93	109.1	6/18	89
Волице-Полівська ЗОШ I-III ст. Теофіпольської райради Хмельницької обл.	221	6394	92.6	108.6	5/17	76
Лісовогринівецька ЗОШ I-III ст.	222	6440	92.3	108.3	5/16	81
Заслучненська ЗОШ I-III ст. Красилівського р-ну Хмельницької обл.	223	6462	92.2	107.5	13/50	82
Миролюбненська ЗОШ I-III ст. Старокостянтинівської райради Хмельницької обл.	224	6468	92.2	107.6	11/43	84
Губчанський НВК "ЗОШ І-ІІІ ст. - ДНЗ" Старокостянтинівської райради Хмельницької обл.	225	6476	92.1	108.2	3/9	89
Новосілецький НВК "Загальноосвітній навчальний заклад І - ІІІ ст. - ДНЗ" Деражнянської райради Хмельницької обл.	226	6485	92.1	107.8	7/25	88
Радовецький НВК “ЗОШ І-ІІІ ст., ДНЗ (ясла-садок)” Деражнянської райради Хмельницької обл. Деражнянської райради Хмельницької обл.	227	6547	91.7	107.5	5/20	85
НВК"Старогутянська ЗОШ I-III ст.-ДНЗ" Дунаєвецької райради Хмельницької обл.	228	6560	91.6	107.6	3/9	78
Дашковецький НВК "Середня ЗОШ I-II ст.-ліцей"	229	6572	91.5	107.1	8/28	79
Жванецька ЗОШ I-III ст.	230	6597	91.4	107.0	7/24	79
Ординецька ЗОШ I-III ст. Теофіпольської райради Хмельницької обл.	231	6601	91.3	107.2	3/12	83
Слобідсько-Рихтівська ЗОШ I-III ст.	232	6605	91.3	106.9	9/27	81
Яблунівський НВК «ЗОШ І-ІІІ ст. – ДНЗ» Деражнянської райради Хмельницької обл.	233	6638	91.1	106.5	8/32	81
Балинська ЗОШ I-III ст. Дунаєвецької райради Хмельницької обл.	234	6641	91	106.8	4/16	81
Зяньковецький НВК «ЗОШ І-ІІІ ст. – ДНЗ» Деражнянської райради Хмельницької обл.	235	6655	91	106.7	5/18	83
Великочернятинська ЗОШ I-III ст. Старокостянтинівської райради Хмельницької обл.	236	6665	90.9	106.4	8/27	81
Ганнівська ЗОШ I-III ст. Дунаєвецької міськради Хмельницької обл.	237	6716	90.6	106.1	6/23	83
Гусятинська ЗОШ I-III ст.	238	6792	90	105.7	3/9	78
Пашковецький НВК "ЗОШ І-ІІІ ст. - ДНЗ" Старокостянтинівської райради Хмельницької обл.	239	6811	89.9	105.3	6/24	79
Перерослівська ЗОШ I-III ст.	240	6862	89.6	104.9	7/26	85
Черчецька ЗОШ I-III ст.	241	6864	89.6	104.9	7/25	76
Летавська ЗОШ I-III ст.	242	6868	89.5	104.3	16/52	77
Соломнянська ЗОШ I-III ст.	243	6885	89.4	104.4	10/40	80
Іршиківський НВК "ЗОШ І-ІІІ ст. - ДНЗ"Старокостянтинівської райради Хмельницької обл.	244	6989	88.7	103.9	6/21	76
Сахновецька ЗОШ I-III ст. Старокостянтинівської райради Хмельницької обл.	245	7013	88.5	103.3	11/44	84
Святецька ЗОШ I-III ст. Теофіпольської райради Хмельницької обл.	246	7035	88.3	102.9	14/53	81
Нестеровецька ЗОШ I-III ст. Дунаєвецької міськради Хмельницької обл.	247	7038	88.3	103.5	5/20	80
Гуменецький НВК "ЗОШ I-III ст., гімназія"	248	7084	88	102.8	10/39	85
Хорошівська ЗОШ I-III ст.	249	7097	87.9	102.4	14/55	84
Тарнорудська ЗОШ I-III ст.	250	7114	87.8	102.8	8/28	75
Божиковецький НВК «ЗОШ І-ІІІ ст. – ДНЗ» Деражнянської райради Хмельницької обл.	251	7122	87.8	102.8	6/24	83
Ружичанський НВК	252	7155	87.5	102.6	5/17	82
Воронковецька ЗОШ I-III ст. Старокостянтинівської райради Хмельницької обл.	253	7158	87.5	102.3	9/31	77
Михнівська ЗОШ I-III ст. Ізяславської райради Хмельницької обл.	254	7166	87.4	102.5	5/17	76
Тростянецький НВК "ЗОШ I-III ст.-дитячий садок"	255	7174	87.3	102.3	7/22	77
Старокривинський НВК"ДНЗ-школа I-III ст." Славутської райради Хмельницької обл.	256	7178	87.3	102.3	6/20	85
Кременчуківська ЗОШ I-III ст. Красилівського р-ну Хмельницької обл.	257	7200	87.1	102.0	7/25	80
Городищенська ЗОШ I-III ст. Шепетівської райради Хмельницької обл.	258	7225	86.9	101.6	11/36	72
Курівський НВК "ЗОШ I-III ст.-дитячий садок"	259	7250	86.7	101.7	4/15	80
Кащенецька ЗОШ I-III ст.	260	7323	86.1	101.1	4/13	77
Купільська ЗОШ I-III ст.	261	7373	85.8	99.7	19/67	72
Щаснівська ЗОШ I-III ст.	262	7382	85.7	100.6	5/15	87
Плесенська ЗОШ I-III ст. Шепетівської райради Хмельницької обл.	263	7412	85.6	100.0	10/35	77
ЗОШ I-III ст. №7 м.Славути Хмельницької обл.	264	7418	85.5	99.6	14/55	80
Адампільська ЗОШ I-III ст.	265	7426	85.5	99.3	19/68	79
Великолевадська ЗОШ I-III ст.	266	7434	85.4	99.8	10/38	79
Кучанська ЗОШ I-III ст.	267	7464	85	99.4	9/35	71
Клининська ЗОШ I-III ст.	268	7479	84.9	99.6	5/17	76
Кустовецька ЗОШ I-III ст. Полонської райради Хмельницької обл.	269	7488	84.9	99.2	9/35	77
Іванковецька ЗОШ I-III ст. Дунаєвецької міськради Хмельницької обл.	270	7510	84.7	99.1	8/31	71
Христівська ЗОШ I-III ст. Ізяславської райради Хмельницької обл.	271	7513	84.7	99.2	8/25	80
Красноставська ЗОШ I-III ст.	272	7551	84.5	99.1	4/16	75
Гречинецький НВК "ЗОШ І-ІІІ ст.-ДНЗ" Летичівської селищної ради	273	7561	84.4	98.8	10/30	83
Великомацевицький НВК "ЗОШ І-ІІІ ст. - ДНЗ" Старокостянтинівської райради Хмельницької обл.	274	7580	84.3	98.6	9/30	77
Борисівський НВК "ЗОШ I-III ст. - дитячий садок", Ізяславської райради, Хмельницької обл.	275	7607	84.1	98.3	9/34	82
Волоський НВК «Загальноосвітній навчальний заклад І-ІІІ ст. – ДНЗ» Деражнянської райради Хмельницької обл.	276	7618	84	98.6	5/15	73
Чорнокозинецький НВК в складі загальноосвітньої школи I-III ст. та дошкільного навчального закладу	277	7663	83.7	98.1	7/23	83
Корчицький НВК "загальноосвітній навчальний заклад I-III ст. - ДНЗ" Шепетівської райради Хмельницької обл.	278	7682	83.5	97.8	8/27	78
Чорниводська ЗОШ I-III ст.	279	7702	83.4	97.3	12/45	80
Струзька ЗОШ I-III ст.	280	7710	83.4	97.3	11/43	77
Москалівська ЗОШ I-III ст. Ярмолинецького р-ну Хмельницької обл.	281	7731	83.2	97.4	8/27	78
Ілляшівська ЗОШ I-III ст. Старокостянтинівської райради Хмельницької обл.	282	7786	82.7	97.2	2/6	83
Новолабунська ЗОШ I-III ст. Полонської міськради об’єднаної територіальної громади Хмельницької обл.	283	7789	82.7	96.5	11/44	82
Хоптинецький НВК "ЗОШ I-III ст.-дитячий садок"	284	7835	82.4	96.5	7/24	75
Чепелівська ЗОШ I-III ст. імені Петра Шемчука Красилівського р-ну Хмельницької обл.	285	7834	82.4	96.5	7/24	79
Мшанецький НВК "ЗОШ I-III ст., ДНЗ"	286	7833	82.4	96.5	6/24	79
Петрашівський НВК "ЗОШ I-III ст. - ДНЗ"	287	7840	82.3	96.5	6/20	80
Завалійківська ЗОШ I-III ст.	288	7924	81.5	95.6	4/16	81
Воронівецька ЗОШ I-III ст. Теофіпольської райради Хмельницької обл.	289	7996	80.9	94.7	7/24	75
Мисюрівська ЗОШ I-III ст.	290	8012	80.7	94.4	9/32	78
Григорівська ЗОШ I-III ст. Старокостянтинівської райради Хмельницької обл.	291	8049	80.4	94.2	7/23	83
Пільноолексинецька ЗОШ I-III ст.	292	8068	80.2	94.2	3/10	70
Михлянська ЗОШ I-III ст. Iзяславської райради Хмельницькоi областi	293	8089	80.1	93.4	13/47	77
Великожванчицька ЗОШ І-ІІІ ст. ім. М.С.Майдана Дунаєвецької райради Хмельницької обл.	294	8099	80	93.3	13/46	74
Гаврилівська ЗОШ I-III ст. Теофіпольської райради Хмельницької обл.	295	8136	79.5	93.3	4/15	67
Косиковецька ЗОШ I-III ст.	296	8158	79.2	92.4	11/44	80
Бутовецька ЗОШ I-III ст. Старокостянтинівської райради Хмельницької обл.	297	8159	79.2	92.8	6/20	75
Щиборівська ЗОШ I-III ст. Красилівського р-ну Хмельницької обл.	298	8169	79.1	92.5	8/32	72
Гуківська ЗОШ I-III ст.	299	8172	79.1	92.4	10/37	73
Глібівська ЗОШ I-III ст.	300	8215	78.7	92.3	6/18	78
Кам’янець-Подільська вечірня ЗОШ ІI-III ст. №1 Хмельницької обл.	301	8248	78.4	91.8	8/25	72
Митинецька ЗОШ I-III ст. Красилівського р-ну Хмельницької обл.	302	8252	78.3	91.5	11/38	76
Терешківська ЗОШ I-III ст. Красилівського р-ну Хмельницької обл.	303	8259	78.3	92.0	2/6	83
Берездівський НВК "ДНЗ- школа І-ІІІ ст." Берездівської сільської ради Славутського р-ну Хмельницької обл.	304	8260	78.3	90.7	25/83	70
Гвардійський НВК	305	8274	78.1	90.9	19/60	75
ЗОШ I-III ст. №4 м.Славути Хмельницької обл.	306	8291	78	90.5	19/74	76
Грузевицька ЗОШ I-III ст.	307	8311	77.8	91.1	6/23	74
Лажівська ЗОШ ІI-III ст. Старокостянтинівської райради Хмельницької обл.	308	8345	77.4	90.7	6/20	70
Цвітоське навчально-виховне об’єднання "ДНЗ, середня ЗОШ I-III ст., школа мистецтв" Славутської райради Хмельницької обл.	309	8348	77.4	90.5	10/31	71
Ганнопільський НВК "ДНЗ - середня ЗОШ I-III ст." Ганнопільської сільської ради Славутського р-ну Хмельницької обл.	310	8383	77.1	89.6	19/63	70
Дерев’янська ЗОШ I-III ст.	311	8387	77	90.2	7/23	74
Шепетівська ЗОШ I-III ст. №4 ім. Валі Котика Хмельницької обл.	312	8424	76.6	89.4	13/42	69
Мокіївська ЗОШ I-III ст. Шепетівської райради Хмельницької обл.	313	8490	75.8	88.3	16/57	67
Онацьківецький НВК "ЗОШ I-III ст. - ДНЗ" Полонської міськради об’єднаної територіальної громади	314	8508	75.7	88.7	5/19	74
Хоровецький НВК "ДНЗ - середня ЗОШ I-III ст." Славутської райради Хмельницької обл.	315	8510	75.6	88.5	8/30	73
Женишковецька ЗОШ I-III ст.	316	8519	75.5	88.6	5/17	71
Шепетівська спеціалізована школа-інтернат І-ІІІ ст. з поглибленим вивченням окремих предметів та курсів Хмельницької обл.	317	8537	75.4	87.5	23/74	69
Печеська ЗОШ I-III ст. Красилівського р-ну Хмельницької обл.	318	8555	75.2	88.0	7/26	69
Шарівська ЗОШ I-III ст. Ярмолинецької райради Хмельницької обл.	319	8603	74.6	87.5	5/17	71
Голосківська ЗОШ I-III ст.	320	8623	74.4	87.3	3/12	67
Малоправутинський НВК "ДНЗ - середня ЗОШ I-III ст." Берездівської сільської ради Славутського р-ну Хмельницької обл.	321	8626	74.3	86.8	12/41	73
Подільська ЗОШ I-III ст.	322	8634	74.3	87.0	6/22	68
Чернелівська ЗОШ I-III ст. імені Героя Радянського Союзу Омеляна Йосиповича Михайлюка Красилівського р-ну Хмельницької обл.	323	8635	74.2	86.9	8/28	71
Ладигівський НВК "ЗОШ І-ІІІ ст. - ДНЗ" Старокостянтинівської райради Хмельницької обл.	324	8667	74	86.6	9/32	72
Дашковецький НВК "ЗОШ I-III ст., ДНЗ"	325	8697	73.6	86.2	8/26	65
Голенищівська ЗОШ І-ІІІ ст. імені А.Д.Локазюка Летичівської селищної ради	326	8709	73.5	85.8	12/40	73
Полянський НВК "ДНЗ - середня ЗОШ I-III ст." Славутської райради Хмельницької обл.	327	8735	73.1	85.8	4/12	75
Сахновецька ЗОШ I-III ст. Ізяславської райради Хмельницької обл.	328	8771	72.7	85.1	7/27	70
Скаржинецька ЗОШ І-ІІІ ст. Ярмолинецької райради Хмельницької обл.	329	8833	71.9	84.3	5/20	60
Кошелівська ЗОШ I-III ст. Красилівського р-ну Хмельницької обл.	330	8850	71.8	83.8	11/40	65
Великопобіянська ЗОШ I-III ст. Дунаєвецької райради Хмельницької обл.	331	8858	71.7	83.8	11/35	66
Врублівецька ЗОШ I-III ст.	332	8951	70.5	82.8	3/9	67
Миньковецький НВК "ДНЗ - середня ЗОШ I-III ст." Славутської райради Хмельницької обл.	333	8983	70	81.8	11/39	69
Вишнівчицька ЗОШ I-III ст. ім. С.М.Раєвського	334	8990	70	82.0	6/21	62
Юровецька ЗОШ I-III ст.	335	8999	69.8	81.9	6/18	61
Михайловецька ЗОШ I-III ст. Красилівського р-ну Хмельницької обл.	336	9097	68.4	80.3	3/9	67
Рогізнянська ЗОШ I-III ст.	337	9100	68.4	80.1	6/21	67
Мирутинський НВК"ДНЗ-школа I-III ст." Берездівської сільської ради Славутського р-ну Хмельницької обл.	338	9120	68.1	79.4	15/47	66
Головлівський НВК "ДНЗ - школа І-ІІІ ст.» Славутської райради Хмельницької обл.	339	9122	68	79.8	5/17	71
Жердянська ЗОШ I-III ст.	340	9189	67	78.5	7/23	61
Чорнянська ЗОШ I-III ст.	341	9232	66.3	77.6	9/31	68
Пархомовецька ЗОШ I-III ст.	342	9235	66.3	77.8	5/15	67
Буртинська ЗОШ І-ІІІ ст. Понінківської селищної ради	343	9273	65.7	77.1	4/13	62
Копачівська ЗОШ I-III ст.	344	9294	65.2	76.5	4/14	71
Шибенська ЗОШ I-III ст. Теофіпольської райради Хмельницької обл.	345	9303	65	76.0	9/33	58
Новосільська ЗОШ I-III ст. Ізяславської райради Хмельницької обл.	346	9319	64.7	75.7	9/32	66
Жищинецька ЗОШ I-III ст.	347	9362	63.8	74.4	12/44	61
М’якотівська ЗОШ I-III ст. Ізяславської райради Хмельницької обл.	348	9373	63.5	74.6	2/7	57
Лисецька ЗОШ I-III ст. Дунаєвецької міськради Хмельницької обл.	349	9483	60.8	71.1	10/36	64
Довжківський НВК "Дошкільний навчальний заклад - середня ЗОШ I-III ст." Ганнопільська сільська рада Славутського р-ну Хмельницької обл.	350	9496	60.6	71.0	6/19	63
Проскурівська ЗОШ I-III ст. Ярмолинецької районої ради Хмельницької обл.	351	9503	60.5	70.9	5/17	65
Федорівська ЗОШ I-III ст. Красилівського р-ну Хмельницької обл.	352	9514	60.2	70.5	8/28	61
Заліський-2 НВК у складі загальноосвітньої школи І-ІІІ ст. та дошкільного навчального закладу	353	9517	60.2	70.7	2/6	67
Глушковецька ЗОШ I-III ст. Ярмолинецької райради Хмельницької обл.	354	9524	59.9	70.3	5/17	59
Великомедведівський НВК "загальноосвітній навчальний заклад I-III ст. - ДНЗ" Шепетівської райради Хмельницької обл.	355	9539	59.6	69.9	5/16	63
Іванковецька ЗОШ I-III ст.	356	9581	58.4	68.7	1/3	67
Савинецька ЗОШ I-III ст. Ярмолинецької райради Хмельницької обл.	357	9599	58.1	68.1	6/18	61
Антонінська ЗОШ I-III ст. Красилівського р-ну Хмельницької обл.	358	9608	57.8	67.7	9/27	56
Миньковецька ЗОШ I-III ст. Дунаєвецької міськради Хмельницької обл.	359	9620	57.5	67.4	6/20	55
Маниковецька ЗОШ I-III ст. Деражнянської райради Хмельницької обл.	360	9656	56.5	66.0	10/35	57
Серединецька ЗОШ I-III ст. Шепетівської райради Хмельницької обл.	361	9678	55.6	65.2	5/17	59
Стуфчинецька ЗОШ I-III ст.	362	9733	53.5	62.7	5/17	59
Охрімовецький НВК "ЗОШ I-III ст.- дошкільний заклад"	363	9740	53.3	62.3	9/34	53
Требуховецька ЗОШ I-III ст. Меджибізької селищної ради Хмельницької обл.	364	9755	52.2	61.2	6/19	53
Великоскнитський НВК"Дошкільний навчальний заклад- середня ЗОШ I-III ст." Ганнопільська сільська рада Славутського р-ну Хмельницької обл.	365	9774	51.1	59.8	8/29	52
Михайлюцька ЗОШ I-III ст. Шепетівської райради Хмельницької обл.	366	9799	49.9	58.2	17/51	49
Шекеринецький НВК "ЗОШ I-III ст. - дитячий садок" Ізяславської райради Хмельницької обл.	367	9827	48.3	56.6	6/18	50
Севрюківська ЗОШ I-III ст. Красилівського р-ну Хмельницької обл.	368	9860	46.5	54.6	2/7	43
Пилипохребтіївська ЗОШ I-III ст.	369	9878	45.4	53.3	2/6	50
Немиренецький НВК "ЗОШ I-III ст.-дитячий садок"	370	9972	35.5	41.6	5/15	40
Колодіївська ЗОШ I-III ст.	371	10001	30.6	36.0	1/3	33
Рейтинг складено Освіта.ua з використанням офіційного звіту за результатами ЗНО 2017 року оприлюдненого Українським центром оцінювання якості освіти.
